Group of category,Category,sub-Category,Level,Levelname,Data,Indicator,Group of Modality,Modality,years,Comments
Health status indicators,Mortality,child mortality,District,Nyanza,62,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gisagara,104,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyaruguru,77,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Huye,61,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamagabe,52,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ruhango,62,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Muhanga,41,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kamonyi,58,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Karongi,65,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rutsiro,79,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rubavu,77,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyabihu,62,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngororero,78,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rusizi,61,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamasheke,17,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rulindo,59,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gakenke,64,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Musanze,67,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Burera,52,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gicumbi,58,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rwamagana,74,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyagatare,95,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gatsibo,99,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kayonza,96,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kirehe,87,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngoma,75,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Bugesera,68,"Under-five Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyarugenge,9,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gasabo,21,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kicukiro,17,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyanza,9,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gisagara,39,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyaruguru,23,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Huye,17,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamagabe,6,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ruhango,18,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Muhanga,2,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kamonyi,6,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Karongi,10,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rutsiro,26,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rubavu,30,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyabihu,15,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngororero,18,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rusizi,10,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamasheke,5,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rulindo,13,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gakenke,9,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Musanze,26,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Burera,9,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gicumbi,14,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rwamagana,19,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyagatare,29,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gatsibo,48,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kayonza,26,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kirehe,35,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngoma,19,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Bugesera,24,"Postneonatal mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,National,Rwanda,33,"Infant Mortality per 1,000 live births",,,2020,
Health status indicators,Mortality,child mortality,District,Nyarugenge,29,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gasabo,27,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kicukiro,32,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyanza,40,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gisagara,52,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyaruguru,52,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Huye,40,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamagabe,21,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ruhango,54,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Muhanga,20,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kamonyi,38,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Karongi,43,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rutsiro,49,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rubavu,53,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyabihu,35,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngororero,56,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rusizi,41,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamasheke,12,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rulindo,38,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gakenke,43,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Musanze,47,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Burera,26,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gicumbi,37,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rwamagana,42,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyagatare,49,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gatsibo,56,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kayonza,61,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kirehe,63,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngoma,42,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Bugesera,47,"Infant Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,National,Rwanda,13,"Child Mortality per 1,000 live births",,,2020,
Health status indicators,Mortality,child mortality,District,Nyarugenge,18,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gasabo,15,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kicukiro,8,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyanza,22,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gisagara,55,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyaruguru,27,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Huye,22,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamagabe,31,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ruhango,9,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Muhanga,21,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kamonyi,20,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Karongi,23,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rutsiro,31,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rubavu,25,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyabihu,28,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngororero,23,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rusizi,21,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyamasheke,6,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rulindo,22,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gakenke,22,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Musanze,21,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Burera,27,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gicumbi,23,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Rwamagana,33,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Nyagatare,49,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Gatsibo,45,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kayonza,38,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Kirehe,25,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Ngoma,34,"Child Mortality per 1,000 live births",,,2015,
Health status indicators,Mortality,child mortality,District,Bugesera,22,"Child Mortality per 1,000 live births",,,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,39,Delivered by skilled provider,,,2005,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,52,Delivered by skilled provider,,,2008,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,69,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,90.7,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,94.3,Delivered by skilled provider,,,2020,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,61.8,Delivered by skilled provider,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,South,39.9,Delivered by skilled provider,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,West,34.4,Delivered by skilled provider,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,North,34.1,Delivered by skilled provider,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,East,38.5,Delivered by skilled provider,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,83.1,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,South,66.4,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,West,71,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,North,63.8,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,East,67.5,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,94.5,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,South,90.1,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,West,90.5,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,North,92.2,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,East,88.9,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,97.3,Delivered by skilled provider,,,2020,
Service coverage indicators,Maternal Health,Delivery,province,South,92.9,Delivered by skilled provider,,,2020,
Service coverage indicators,Maternal Health,Delivery,province,West,93.8,Delivered by skilled provider,,,2020,
Service coverage indicators,Maternal Health,Delivery,province,North,96.7,Delivered by skilled provider,,,2020,
Service coverage indicators,Maternal Health,Delivery,province,East,93.0,Delivered by skilled provider,,,2020,
Service coverage indicators,Maternal Health,Delivery,District,Nyarugenge,86.9,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gasabo,79.7,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kicukiro,85.8,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyanza,67.2,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gisagara,63.4,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyaruguru,59.1,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Huye,70.8,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyamagabe,49.2,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Ruhango,78.7,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Muhanga,76.1,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kamonyi,73.4,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Karongi,57.8,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rutsiro,69.9,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rubavu,65.1,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyabihu,61,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Ngororero,60.5,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rusizi,90.9,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyamasheke,86.9,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rulindo,63,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gakenke,58.4,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Musanze,65.3,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Burera,65.1,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gicumbi,67.8,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rwamagana,84.3,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyagatare,68.7,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gatsibo,63.9,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kayonza,69.2,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kirehe,58,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Ngoma,67.3,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Bugesera,64.4,Delivered by skilled provider,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyarugenge,91.8,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Gasabo,95.7,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Kicukiro,94.8,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyanza,85,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Gisagara,88.1,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyaruguru,81.6,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Huye,96.1,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyamagabe,88.2,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Ruhango,94.7,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Muhanga,94.8,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Kamonyi,92.4,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Karongi,85.9,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Rutsiro,91.6,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Rubavu,93.8,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyabihu,90.1,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Ngororero,75.9,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Rusizi,95.6,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyamasheke,96.2,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Rulindo,91,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Gakenke,89.3,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Musanze,94.6,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Burera,90.6,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Gicumbi,94.3,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Rwamagana,93.2,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyagatare,83.2,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Gatsibo,87.5,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Kayonza,91.8,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Kirehe,85.6,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Ngoma,88.4,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Bugesera,95.9,Delivered by skilled provider,,,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,96.9,Delivered by skilled provider,Place of residence,Urban,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,89.4,Delivered by skilled provider,Place of residence,Rural,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,84.2,Delivered by skilled provider,Wealth quintile,Q1 (lowest),2015,worst off for populatin
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,90.8,Delivered by skilled provider,Wealth quintile,Q2 (second),2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,91,Delivered by skilled provider,Wealth quintile,Q3 (middle),2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,92.8,Delivered by skilled provider,Wealth quintile,Q4 (fourth),2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,97.2,Delivered by skilled provider,Wealth quintile,Q5 (highest),2015,best off for population
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,82.5,Delivered by skilled provider,Education status,No education,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,91.2,Delivered by skilled provider,Education status,Primary,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,97.2,Delivered by skilled provider,Education status,Secondary and higher,2015,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,82.4,Delivered by skilled provider,Place of residence,Urban,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,67.2,Delivered by skilled provider,Place of residence,Rural,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,61.2,Delivered by skilled provider,Wealth quintile,Q1 (lowest),2010,worst off for populatin
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,63.5,Delivered by skilled provider,Wealth quintile,Q2 (second),2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,66.7,Delivered by skilled provider,Wealth quintile,Q3 (middle),2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,72.6,Delivered by skilled provider,Wealth quintile,Q4 (fourth),2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,85.9,Delivered by skilled provider,Wealth quintile,Q5 (highest),2010,best off for population
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,57.1,Delivered by skilled provider,Education status,No education,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,69.9,Delivered by skilled provider,Education status,Primary,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,87.7,Delivered by skilled provider,Education status,Secondary and higher,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,8,Assistance during delivery by Doctor,,,2000,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,5,Assistance during delivery by Doctor,,,2005,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,9.8,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,National,Rwanda,18.3,Assistance during delivery by Doctor,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,15,Assistance during delivery by Doctor,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,South,6.4,Assistance during delivery by Doctor,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,West,5.2,Assistance during delivery by Doctor,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,North,2.2,Assistance during delivery by Doctor,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,East,2.4,Assistance during delivery by Doctor,,,2005,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,19.9,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,South,9.2,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,West,9,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,North,7.2,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,East,9,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,province,Kigali City,26.5,Assistance during delivery by Doctor,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,South,23.4,Assistance during delivery by Doctor,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,West,13.8,Assistance during delivery by Doctor,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,North,15.3,Assistance during delivery by Doctor,,,2015,
Service coverage indicators,Maternal Health,Delivery,province,East,16.1,Assistance during delivery by Doctor,,,2015,
Service coverage indicators,Maternal Health,Delivery,District,Nyarugenge,24.9,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gasabo,16.5,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kicukiro,21.5,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyanza,10.2,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gisagara,3.9,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyaruguru,4.2,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Huye,8.2,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyamagabe,10.5,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Ruhango,12.6,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Muhanga,17.6,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kamonyi,10.8,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Karongi,5.2,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rutsiro,6.9,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rubavu,3.6,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyabihu,2.3,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Ngororero,22.1,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rusizi,9.6,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyamasheke,11.5,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rulindo,8.7,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gakenke,8.6,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Musanze,4.1,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Burera,5.5,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gicumbi,9.4,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Rwamagana,9.4,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Nyagatare,4.3,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Gatsibo,7.7,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kayonza,23.8,Assistance during delivery by Doctor,,,2010,
Service coverage indicators,Maternal Health,Delivery,District,Kirehe,5.2,Assistance during delivery by Doctor,,,2010,
